Day,Date,Capital Emission,Code Emission,Compute Emission,Community Emission,Protection Emission,Total Emission,Total Supply
1,08/02/2024,3456.0,3456.0,3456.0,3456.0,576.0,14400.0,14400.0
2,09/02/2024,6911.40744127176,6911.40744127176,6911.40744127176,6911.40744127176,1151.90124021196,14397.531005299,28797.531005299
3,10/02/2024,10366.2223238153,10366.2223238153,10366.2223238153,10366.2223238153,1727.70372063588,14395.062010598,43192.593015897
4,11/02/2024,13820.4446476306,13820.4446476306,13820.4446476306,13820.4446476306,2303.40744127176,14392.593015897,57585.186031794
5,12/02/2024,17274.0744127176,17274.0744127176,17274.0744127176,17274.0744127176,2879.0124021196,14390.124021196,71975.31005299
6,13/02/2024,20727.1116190764,20727.1116190764,20727.1116190764,20727.1116190764,3454.5186031794,14387.655026495,86362.965079485
7,14/02/2024,24179.556266707,24179.556266707,24179.556266707,24179.556266707,4029.92604445116,14385.186031794,100748.151111279
8,15/02/2024,27631.4083556093,27631.4083556093,27631.4083556093,27631.4083556093,4605.23472593488,14382.717037093,115130.868148372
9,16/02/2024,31082.6678857834,31082.6678857834,31082.6678857834,31082.6678857834,5180.44464763056,14380.248042392,129511.116190764
10,17/02/2024,34533.3348572292,34533.3348572292,34533.3348572292,34533.3348572292,5755.5558095382,14377.779047691,143888.895238455
11,18/02/2024,37983.4092699468,37983.4092699468,37983.4092699468,37983.4092699468,6330.5682116578,14375.31005299,158264.205291445
12,19/02/2024,41432.8911239362,41432.8911239362,41432.8911239362,41432.8911239362,6905.48185398936,14372.841058289,172637.046349734
13,20/02/2024,44881.7804191973,44881.7804191973,44881.7804191973,44881.7804191973,7480.29673653288,14370.372063588,187007.418413322
14,21/02/2024,48330.0771557302,48330.0771557302,48330.0771557302,48330.0771557302,8055.01285928836,14367.903068887,201375.321482209
15,22/02/2024,51777.7813335348,51777.7813335348,51777.7813335348,51777.7813335348,8629.6302222558,14365.434074186,215740.755556395
16,23/02/2024,55224.8929526112,55224.8929526112,55224.8929526112,55224.8929526112,9204.1488254352,14362.965079485,230103.72063588
17,24/02/2024,58671.4120129594,58671.4120129594,58671.4120129594,58671.4120129594,9778.56866882656,14360.496084784,244464.216720664
18,25/02/2024,62117.3385145793,62117.3385145793,62117.3385145793,62117.3385145793,10352.8897524299,14358.027090083,258822.243810747
19,26/02/2024,65562.672457471,65562.672457471,65562.672457471,65562.672457471,10927.1120762452,14355.558095382,273177.801906129
20,27/02/2024,69007.4138416344,69007.4138416344,69007.4138416344,69007.4138416344,11501.2356402724,14353.089100681,287530.89100681
21,28/02/2024,72451.5626670696,72451.5626670696,72451.5626670696,72451.5626670696,12075.2604445116,14350.62010598,301881.51111279
22,29/02/2024,75895.1189337766,75895.1189337766,75895.1189337766,75895.1189337766,12649.1864889628,14348.151111279,316229.662224069
23,01/03/2024,79338.0826417553,79338.0826417553,79338.0826417553,79338.0826417553,13223.0137736259,14345.682116578,330575.344340647
24,02/03/2024,82780.4537910058,82780.4537910058,82780.4537910058,82780.4537910058,13796.742298501,14343.213121877,344918.557462524
25,03/03/2024,86222.232381528,86222.232381528,86222.232381528,86222.232381528,14370.372063588,14340.744127176,359259.3015897
26,04/03/2024,89663.418413322,89663.418413322,89663.418413322,89663.418413322,14943.903068887,14338.275132475,373597.576722175
27,05/03/2024,93104.0118863878,93104.0118863878,93104.0118863878,93104.0118863878,15517.335314398,14335.806137774,387933.382859949
28,06/03/2024,96544.0128007253,96544.0128007253,96544.0128007253,96544.0128007253,16090.6688001209,14333.337143073,402266.720003022
29,07/03/2024,99983.4211563345,99983.4211563345,99983.4211563345,99983.4211563345,16663.9035260558,14330.868148372,416597.588151394
30,08/03/2024,103422.236953216,103422.236953216,103422.236953216,103422.236953216,17237.0394922026,14328.399153671,430925.987305065
31,09/03/2024,106860.460191368,106860.460191368,106860.460191368,106860.460191368,17810.0766985614,14325.93015897,445251.917464035
32,10/03/2024,110298.090870793,110298.090870793,110298.090870793,110298.090870793,18383.0151451322,14323.461164269,459575.378628304
33,11/03/2024,113735.128991489,113735.128991489,113735.128991489,113735.128991489,18955.8548319149,14320.992169568,473896.370797872
34,12/03/2024,117171.574553457,117171.574553457,117171.574553457,117171.574553457,19528.5957589096,14318.523174867,488214.893972739
35,13/03/2024,120607.427556697,120607.427556697,120607.427556697,120607.427556697,20101.2379261162,14316.054180166,502530.948152905
36,14/03/2024,124042.688001209,124042.688001209,124042.688001209,124042.688001209,20673.7813335348,14313.585185465,516844.53333837
37,15/03/2024,127477.355886992,127477.355886992,127477.355886992,127477.355886992,21246.2259811654,14311.116190764,531155.649529134
38,16/03/2024,130911.431214047,130911.431214047,130911.431214047,130911.431214047,21818.5718690079,14308.647196063,545464.296725197
39,17/03/2024,134344.913982374,134344.913982374,134344.913982374,134344.913982374,22390.8189970624,14306.178201362,559770.474926559
40,18/03/2024,137777.804191973,137777.804191973,137777.804191973,137777.804191973,22962.9673653288,14303.709206661,574074.18413322
41,19/03/2024,141210.101842843,141210.101842843,141210.101842843,141210.101842843,23535.0169738072,14301.24021196,588375.42434518
42,20/03/2024,144641.806934985,144641.806934985,144641.806934985,144641.806934985,24106.9678224976,14298.771217259,602674.195562439
43,21/03/2024,148072.919468399,148072.919468399,148072.919468399,148072.919468399,24678.8199113999,14296.302222558,616970.497784997
44,22/03/2024,151503.439443085,151503.439443085,151503.439443085,151503.439443085,25250.5732405142,14293.833227857,631264.331012854
45,23/03/2024,154933.366859042,154933.366859042,154933.366859042,154933.366859042,25822.2278098404,14291.364233156,645555.69524601
46,24/03/2024,158362.701716272,158362.701716272,158362.701716272,158362.701716272,26393.7836193786,14288.895238455,659844.590484465
47,25/03/2024,161791.444014773,161791.444014773,161791.444014773,161791.444014773,26965.2406691288,14286.426243754,674131.016728219
48,26/03/2024,165219.593754545,165219.593754545,165219.593754545,165219.593754545,27536.5989590909,14283.957249053,688414.973977272
49,27/03/2024,168647.15093559,168647.15093559,168647.15093559,168647.15093559,28107.858489265,14281.488254352,702696.462231624
50,28/03/2024,172074.115557906,172074.115557906,172074.115557906,172074.115557906,28679.019259651,14279.019259651,716975.481491275
51,29/03/2024,175500.487621494,175500.487621494,175500.487621494,175500.487621494,29250.081270249,14276.55026495,731252.031756225
52,30/03/2024,178926.267126354,178926.267126354,178926.267126354,178926.267126354,29821.044521059,14274.081270249,745526.113026474
53,31/03/2024,182351.454072485,182351.454072485,182351.454072485,182351.454072485,30391.9090120809,14271.612275548,759797.725302022
54,01/04/2024,185776.048459889,185776.048459889,185776.048459889,185776.048459889,30962.6747433148,14269.143280847,774066.868582869
55,02/04/2024,189200.050288564,189200.050288564,189200.050288564,189200.050288564,31533.3417147606,14266.674286146,788333.542869015
56,03/04/2024,192623.45955851,192623.45955851,192623.45955851,192623.45955851,32103.9099264184,14264.205291445,802597.74816046
57,04/04/2024,196046.276269729,196046.276269729,196046.276269729,196046.276269729,32674.3793782882,14261.736296744,816859.484457204
58,05/04/2024,199468.500422219,199468.500422219,199468.500422219,199468.500422219,33244.7500703699,14259.267302043,831118.751759247
59,06/04/2024,202890.132015981,202890.132015981,202890.132015981,202890.132015981,33815.0220026636,14256.798307342,845375.550066589
60,07/04/2024,206311.171051015,206311.171051015,206311.171051015,206311.171051015,34385.1951751692,14254.329312641,859629.87937923
61,08/04/2024,209731.617527321,209731.617527321,209731.617527321,209731.617527321,34955.2695878868,14251.86031794,873881.73969717
62,09/04/2024,213151.471444898,213151.471444898,213151.471444898,213151.471444898,35525.2452408164,14249.391323239,888131.131020409
63,10/04/2024,216570.732803747,216570.732803747,216570.732803747,216570.732803747,36095.1221339579,14246.922328538,902378.053348947
64,11/04/2024,219989.401603868,219989.401603868,219989.401603868,219989.401603868,36664.9002673114,14244.453333837,916622.506682784
65,12/04/2024,223407.477845261,223407.477845261,223407.477845261,223407.477845261,37234.5796408768,14241.984339136,930864.49102192
66,13/04/2024,226824.961527925,226824.961527925,226824.961527925,226824.961527925,37804.1602546542,14239.515344435,945104.006366355
67,14/04/2024,230241.852651861,230241.852651861,230241.852651861,230241.852651861,38373.6421086436,14237.046349734,959341.052716089
68,15/04/2024,233658.151217069,233658.151217069,233658.151217069,233658.151217069,38943.0252028449,14234.577355033,973575.630071122
69,16/04/2024,237073.857223549,237073.857223549,237073.857223549,237073.857223549,39512.3095372582,14232.108360332,987807.738431454
70,17/04/2024,240488.9706713,240488.9706713,240488.9706713,240488.9706713,40081.4951118834,14229.639365631,1002037.37779708
71,18/04/2024,243903.491560324,243903.491560324,243903.491560324,243903.491560324,40650.5819267206,14227.17037093,1016264.54816801
72,19/04/2024,247317.419890619,247317.419890619,247317.419890619,247317.419890619,41219.5699817698,14224.701376229,1030489.24954424
73,20/04/2024,250730.755662185,250730.755662185,250730.755662185,250730.755662185,41788.4592770309,14222.232381528,1044711.48192577
74,21/04/2024,254143.498875024,254143.498875024,254143.498875024,254143.498875024,42357.249812504,14219.763386827,1058931.2453126
75,22/04/2024,257555.649529134,257555.649529134,257555.649529134,257555.649529134,42925.941588189,14217.294392126,1073148.53970472
76,23/04/2024,260967.207624516,260967.207624516,260967.207624516,260967.207624516,43494.534604086,14214.825397425,1087363.36510215
77,24/04/2024,264378.17316117,264378.17316117,264378.17316117,264378.17316117,44063.028860195,14212.356402724,1101575.72150487
78,25/04/2024,267788.546139095,267788.546139095,267788.546139095,267788.546139095,44631.4243565159,14209.887408023,1115785.6089129
79,26/04/2024,271198.326558293,271198.326558293,271198.326558293,271198.326558293,45199.7210930488,14207.418413322,1129993.02732622
80,27/04/2024,274607.514418762,274607.514418762,274607.514418762,274607.514418762,45767.9190697936,14204.949418621,1144197.97674484
81,28/04/2024,278016.109720502,278016.109720502,278016.109720502,278016.109720502,46336.0182867504,14202.48042392,1158400.45716876
82,29/04/2024,281424.112463515,281424.112463515,281424.112463515,281424.112463515,46904.0187439192,14200.011429219,1172600.46859798
83,30/04/2024,284831.522647799,284831.522647799,284831.522647799,284831.522647799,47471.9204412999,14197.542434518,1186798.0110325
84,01/05/2024,288238.340273355,288238.340273355,288238.340273355,288238.340273355,48039.7233788926,14195.073439817,1200993.08447231
85,02/05/2024,291644.565340183,291644.565340183,291644.565340183,291644.565340183,48607.4275566972,14192.604445116,1215185.68891743
86,03/05/2024,295050.197848283,295050.197848283,295050.197848283,295050.197848283,49175.0329747138,14190.135450415,1229375.82436784
87,04/05/2024,298455.237797654,298455.237797654,298455.237797654,298455.237797654,49742.5396329424,14187.666455714,1243563.49082356
88,05/05/2024,301859.685188297,301859.685188297,301859.685188297,301859.685188297,50309.9475313829,14185.197461013,1257748.68828457
89,06/05/2024,305263.540020212,305263.540020212,305263.540020212,305263.540020212,50877.2566700354,14182.728466312,1271931.41675088
90,07/05/2024,308666.802293399,308666.802293399,308666.802293399,308666.802293399,51444.4670488998,14180.259471611,1286111.67622249
91,08/05/2024,312069.472007857,312069.472007857,312069.472007857,312069.472007857,52011.5786679762,14177.79047691,1300289.4666994
92,09/05/2024,315471.549163587,315471.549163587,315471.549163587,315471.549163587,52578.5915272646,14175.321482209,1314464.78818161
93,10/05/2024,318873.033760589,318873.033760589,318873.033760589,318873.033760589,53145.5056267649,14172.852487508,1328637.64066912
94,11/05/2024,322273.925798863,322273.925798863,322273.925798863,322273.925798863,53712.3209664772,14170.383492807,1342808.02416193
95,12/05/2024,325674.225278408,325674.225278408,325674.225278408,325674.225278408,54279.0375464014,14167.914498106,1356975.93866003
96,13/05/2024,329073.932199226,329073.932199226,329073.932199226,329073.932199226,54845.6553665376,14165.445503405,1371141.38416344
97,14/05/2024,332473.046561315,332473.046561315,332473.046561315,332473.046561315,55412.1744268858,14162.976508704,1385304.36067214
98,15/05/2024,335871.568364675,335871.568364675,335871.568364675,335871.568364675,55978.5947274459,14160.507514003,1399464.86818615
99,16/05/2024,339269.497609308,339269.497609308,339269.497609308,339269.497609308,56544.916268218,14158.038519302,1413622.90670545
100,17/05/2024,342666.834295212,342666.834295212,342666.834295212,342666.834295212,57111.139049202,14155.569524601,1427778.47623005
101,18/05/2024,346063.578422388,346063.578422388,346063.578422388,346063.578422388,57677.263070398,14153.1005299,1441931.57675995
102,19/05/2024,349459.729990836,349459.729990836,349459.729990836,349459.729990836,58243.288331806,14150.631535199,1456082.20829515
103,20/05/2024,352855.289000555,352855.289000555,352855.289000555,352855.289000555,58809.2148334259,14148.162540498,1470230.37083565
104,21/05/2024,356250.255451547,356250.255451547,356250.255451547,356250.255451547,59375.0425752578,14145.693545797,1484376.06438144
105,22/05/2024,359644.62934381,359644.62934381,359644.62934381,359644.62934381,59940.7715573016,14143.224551096,1498519.28893254
106,23/05/2024,363038.410677344,363038.410677344,363038.410677344,363038.410677344,60506.4017795574,14140.755556395,1512660.04448894
107,24/05/2024,366431.599452151,366431.599452151,366431.599452151,366431.599452151,61071.9332420252,14138.286561694,1526798.33105063
108,25/05/2024,369824.195668229,369824.195668229,369824.195668229,369824.195668229,61637.3659447049,14135.817566993,1540934.14861762
109,26/05/2024,373216.199325579,373216.199325579,373216.199325579,373216.199325579,62202.6998875966,14133.348572292,1555067.49718991
110,27/05/2024,376607.610424201,376607.610424201,376607.610424201,376607.610424201,62767.9350707002,14130.879577591,1569198.3767675
111,28/05/2024,379998.428964095,379998.428964095,379998.428964095,379998.428964095,63333.0714940158,14128.41058289,1583326.78735039
112,29/05/2024,383388.65494526,383388.65494526,383388.65494526,383388.65494526,63898.1091575434,14125.941588189,1597452.72893858
113,30/05/2024,386778.288367697,386778.288367697,386778.288367697,386778.288367697,64463.0480612829,14123.472593488,1611576.20153207
